W E1 E1 E1
1804.98 9.6435 9.58665 9.57556
1809.13 9.64698 9.58971 9.57751
1813.28 9.65042 9.59272 9.57943
1817.43 9.65382 9.5957 9.58134
1821.58 9.65718 9.59864 9.58321
1825.73 9.66049 9.60155 9.58506
1829.88 9.66377 9.60441 9.58689
1834.02 9.66701 9.60724 9.58869
1838.17 9.67021 9.61003 9.59047
1842.32 9.67336 9.61279 9.59223
1846.47 9.67649 9.61551 9.59396
1850.62 9.67957 9.6182 9.59568
1854.77 9.68261 9.62085 9.59737
1858.92 9.68562 9.62348 9.59904
1863.07 9.68859 9.62606 9.6007
1867.22 9.69153 9.62862 9.60233
1871.37 9.69443 9.63114 9.60394
1875.52 9.6973 9.63364 9.60554
1879.67 9.70013 9.6361 9.60712
1883.82 9.70292 9.63853 9.60868
1887.97 9.70569 9.64093 9.61022
1892.12 9.70842 9.64331 9.61175
1896.27 9.71111 9.64565 9.61326
1900.41 9.71378 9.64797 9.61476
1904.56 9.71641 9.65025 9.61624
1908.71 9.71901 9.65252 9.61771
1912.86 9.72158 9.65475 9.61916
1917.01 9.72411 9.65696 9.62059
1921.16 9.72662 9.65914 9.62202
1925.31 9.7291 9.66129 9.62343
1929.46 9.73154 9.66342 9.62483
1933.61 9.73396 9.66553 9.62621
1937.76 9.73635 9.66761 9.62758
1941.91 9.73871 9.66967 9.62895
1946.06 9.74104 9.6717 9.6303
1950.21 9.74334 9.67371 9.63163
1954.36 9.74562 9.6757 9.63296
1958.51 9.74786 9.67766 9.63428
1962.66 9.75009 9.6796 9.63559
1966.8 9.75228 9.68153 9.63689
1970.95 9.75445 9.68343 9.63817
1975.1 9.75659 9.68531 9.63945
1979.25 9.75871 9.68717 9.64072
1983.4 9.7608 9.689 9.64198
1987.55 9.76287 9.69082 9.64324
1991.7 9.76491 9.69262 9.64448
1995.85 9.76693 9.69441 9.64572
2000 9.76892 9.69617 9.64695
2004.15 9.77089 9.69791 9.64817
2008.3 9.77284 9.69964 9.64939
2012.45 9.77476 9.70135 9.6506
2016.6 9.77667 9.70304 9.6518
2020.75 9.77855 9.70471 9.65299
2024.9 9.7804 9.70637 9.65418
2029.05 9.78224 9.70801 9.65537
2033.2 9.78405 9.70964 9.65655
2037.34 9.78585 9.71125 9.65772
2041.49 9.78762 9.71284 9.65889
2045.64 9.78937 9.71442 9.66005
2049.79 9.79111 9.71599 9.66121
2053.94 9.79282 9.71754 9.66237
2058.09 9.79451 9.71908 9.66352
2062.24 9.79619 9.7206 9.66466
2066.39 9.79784 9.72211 9.6658
2070.54 9.79948 9.7236 9.66694
2074.69 9.8011 9.72509 9.66808
2078.84 9.8027 9.72656 9.66921
2082.99 9.80428 9.72801 9.67034
2087.14 9.80584 9.72946 9.67146
2091.29 9.80739 9.73089 9.67258
2095.44 9.80892 9.73232 9.6737
2099.59 9.81043 9.73373 9.67482
2103.73 9.81193 9.73513 9.67594
2107.88 9.81341 9.73652 9.67705
2112.03 9.81488 9.7379 9.67816
2116.18 9.81633 9.73926 9.67927
2120.33 9.81776 9.74062 9.68037
2124.48 9.81918 9.74197 9.68148
2128.63 9.82058 9.74331 9.68258
2132.78 9.82197 9.74464 9.68368
2136.93 9.82335 9.74596 9.68478
2141.08 9.82471 9.74727 9.68588
2145.23 9.82606 9.74857 9.68698
2149.38 9.82739 9.74987 9.68808
2153.53 9.82871 9.75115 9.68917
2157.68 9.83002 9.75243 9.69027
2161.83 9.83131 9.7537 9.69137
2165.98 9.83259 9.75496 9.69246
2170.12 9.83386 9.75622 9.69355
2174.27 9.83512 9.75746 9.69465
2178.42 9.83636 9.7587 9.69574
2182.57 9.8376 9.75994 9.69684
2186.72 9.83882 9.76117 9.69793
2190.87 9.84003 9.76239 9.69902
2195.02 9.84123 9.7636 9.70012
2199.17 9.84242 9.76481 9.70121
2203.32 9.84359 9.76601 9.70231
2207.47 9.84476 9.76721 9.7034
2211.62 9.84592 9.7684 9.7045
2215.77 9.84707 9.76959 9.70559
2219.92 9.8482 9.77077 9.70669
2224.07 9.84933 9.77194 9.70779
2228.22 9.85045 9.77311 9.70888
2232.37 9.85156 9.77428 9.70998
2236.51 9.85266 9.77544 9.71108
2240.66 9.85375 9.7766 9.71218
2244.81 9.85484 9.77775 9.71329
2248.96 9.85591 9.7789 9.71439
2253.11 9.85698 9.78005 9.71549
2257.26 9.85804 9.78119 9.7166
2261.41 9.85909 9.78233 9.7177
2265.56 9.86013 9.78346 9.71881
2269.71 9.86117 9.78459 9.71992
2273.86 9.8622 9.78572 9.72103
2278.01 9.86322 9.78685 9.72214
2282.16 9.86423 9.78797 9.72326
2286.31 9.86524 9.78909 9.72437
2290.46 9.86624 9.7902 9.72549
2294.61 9.86724 9.79132 9.72661
2298.76 9.86823 9.79243 9.72773
2302.9 9.86921 9.79354 9.72885
2307.05 9.87019 9.79465 9.72997
2311.2 9.87116 9.79575 9.7311
2315.35 9.87213 9.79685 9.73222
2319.5 9.87309 9.79796 9.73335
2323.65 9.87405 9.79906 9.73448
2327.8 9.875 9.80015 9.73561
2331.95 9.87595 9.80125 9.73675
2336.1 9.87689 9.80235 9.73788
2340.25 9.87783 9.80344 9.73902
2344.4 9.87876 9.80453 9.74016
2348.55 9.87969 9.80562 9.7413
2352.7 9.88061 9.80671 9.74245
2356.85 9.88153 9.8078 9.74359
2361 9.88245 9.80889 9.74474
2365.15 9.88337 9.80998 9.74589
2369.29 9.88428 9.81107 9.74705
2373.44 9.88518 9.81215 9.7482
2377.59 9.88609 9.81324 9.74936
2381.74 9.88699 9.81433 9.75052
2385.89 9.88789 9.81541 9.75168
2390.04 9.88878 9.8165 9.75284
2394.19 9.88967 9.81758 9.75401
2398.34 9.89056 9.81867 9.75517
2402.49 9.89145 9.81976 9.75634
2406.64 9.89234 9.82084 9.75752
2410.79 9.89322 9.82193 9.75869
2414.94 9.8941 9.82301 9.75987
2419.09 9.89498 9.8241 9.76105
2423.24 9.89586 9.82519 9.76223
2427.39 9.89673 9.82627 9.76341
2431.54 9.89761 9.82736 9.7646
2435.68 9.89848 9.82845 9.76579
2439.83 9.89935 9.82954 9.76698
2443.98 9.90022 9.83063 9.76817
2448.13 9.90109 9.83172 9.76936
2452.28 9.90196 9.83281 9.77056
2456.43 9.90283 9.8339 9.77176
2460.58 9.9037 9.83499 9.77296
